,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2009-02-17,11.750090599060059,14.007739067077637,61.66999816894531,84000.0,16.721603393554688,40.071678161621094,36.83573532104492,4.381975173950195,35.70580291748047,50.68024826049805
2009-02-18,11.730201721191406,14.030973434448242,62.349998474121094,80000.0,16.61347198486328,39.96430969238281,38.17965316772461,4.086862087249756,36.30433654785156,51.149505615234375
2009-02-19,11.26656436920166,13.868362426757812,61.95000076293945,78600.0,15.910634994506836,40.035884857177734,38.52328109741211,3.51452374458313,36.43260955810547,51.305912017822266
2009-02-20,11.336175918579102,13.938055038452148,63.86000061035156,77000.0,15.369977951049805,39.444053649902344,38.19493865966797,3.389324188232422,35.80556106567383,50.64468765258789
2009-02-21,11.336175918579102,13.938055038452148,63.86000061035156,77000.0,15.369977951049805,39.444053649902344,38.19493865966797,3.389324188232422,35.80556106567383,50.64468765258789
2009-02-22,11.336175918579102,13.938055038452148,63.86000061035156,77000.0,15.369977951049805,39.444053649902344,38.19493865966797,3.389324188232422,35.80556106567383,50.64468765258789
2009-02-23,10.80789852142334,13.326324462890625,61.709999084472656,75600.0,15.068758964538574,38.7222900390625,37.3244514465332,3.4966371059417725,34.8436164855957,49.272457122802734
2009-02-24,11.218087196350098,13.295354843139648,65.5999984741211,79900.0,16.235021591186523,39.36465835571289,38.187294006347656,4.229949474334717,35.463539123535156,51.25614547729492
2009-02-25,11.331196784973145,13.132743835449219,63.709999084472656,79995.0,16.783401489257812,38.94602966308594,37.5764274597168,4.614489555358887,35.57041549682617,51.22771453857422
2009-02-26,11.08633041381836,12.714598655700684,62.34000015258789,78350.0,17.802913665771484,37.848976135253906,36.84336853027344,4.75757360458374,34.893489837646484,50.44560623168945
2009-02-27,11.101242065429688,12.505531311035156,64.79000091552734,78600.0,17.64844512939453,36.087867736816406,37.599334716796875,3.5324087142944336,34.323455810546875,48.277042388916016
2009-02-28,11.101242065429688,12.505531311035156,64.79000091552734,78600.0,17.64844512939453,36.087867736816406,37.599334716796875,3.5324087142944336,34.323455810546875,48.277042388916016
2009-03-01,11.101242065429688,12.505531311035156,64.79000091552734,78600.0,17.64844512939453,36.087867736816406,37.599334716796875,3.5324087142944336,34.323455810546875,48.277042388916016
2009-03-02,10.930953025817871,12.226770401000977,61.9900016784668,75750.0,16.34315299987793,34.58662414550781,36.68302917480469,3.24623966217041,33.39714431762695,46.151153564453125
